,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude,
145,Silverbrook,https://www.mhvillage.com/parks/15964, Berrien ,176,400,129,"1000 West Wildflower, Niles, MI, 49120",41.84367,-86.25133,
208,Lighthouse On The Lake,https://www.mhvillage.com/parks/38053, Calhoun ,788,N/A,178,"1001 24 Mile Road, Homer, MI, 49245",42.15145,-84.82623,
332,Timber Heights,https://www.mhvillage.com/parks/15924, Genesee ,221,N/A,328,"1168 N. Oak Rd., Davison, MI, 48423",43.0264,-83.49335,
338,Lake Fenton Estates,https://www.mhvillage.com/parks/37972, Genesee ,135,320,337,"11429 Harbor Cove Drive, Fenton, MI, 48430",42.85895,-83.71818,
442,Somerset Centre Estates,https://www.mhvillage.com/parks/496, Hillsdale ,310,365,395,"12851 East Chicago Road, Somerset Center, MI, 49282",42.0406,-84.39641,
535,Vinings Trailer Park,https://www.mhvillage.com/parks/32872, Jackson ,199,N/A,512,"105 Portage Lake Road, Munith, MI, 49259",42.37239,-84.24817,
79,Valley Mobile Home Park,https://www.mhvillage.com/parks/15942, Kalkaska ,10,N/A,538,"1268 Wood Road, Rapid City, MI, 49676",44.86895,-85.28593,
663,Friendly Village Of Adrian,https://www.mhvillage.com/parks/15347, Lenawee ,179,378,607,"1100 South Main Street, Adrian, MI, 49221",41.89354,-84.06128,
669,King Mobile Home Court,https://www.mhvillage.com/parks/15346, Lenawee ,123,N/A,615,"1142 Lansing Street, Adrian, MI, 49221",41.89354,-84.06128,
252,Blair Hastings Park Lake Superior State,https://www.mhvillage.com/parks/15779, Mackinac ,N/A,N/A,650,"1000 College Drive, Sault Sainte Marie, MI, 49783",46.37568,-84.30145,
756,Forest Hills Park,https://www.mhvillage.com/parks/15598, Mecosta ,N/A,N/A,720,"14400 Northland Drive, Big Rapids, MI, 49307",43.7051,-85.51279,
268,Withii Trailer Park,https://www.mhvillage.com/parks/15610, Missaukee ,N/A,N/A,763,"1820 Hampton Road, Harrison, MI, 48625",44.03111,-84.84619,
600,The Oaks of Rockford,https://www.mhvillage.com/parks/104025, Montcalm ,262,525,790,"11640 Townsquare Blvd, Rockford, MI, 49341",43.12562,-85.49424,
613,Lakeside Village,https://www.mhvillage.com/parks/281, Montcalm ,67,500,794,"12205 Hart Street, Greenville, MI, 48838",43.13567,-85.36587,
821,Stanton Mobile Home Community,https://www.mhvillage.com/parks/15656, Montcalm ,50,N/A,796,"101 Rachael, Stanton, MI, 48888",43.31444,-85.10173,
859,West Pine Island,https://www.mhvillage.com/parks/46519, Muskegon ,30,N/A,852,"1091 East Laketon, Muskegon, MI, 49442",43.2459,-86.14177,
864,Brooks Lake Mobile Home Park,https://www.mhvillage.com/parks/16002, Newaygo ,15,N/A,855,"2263 Spruell, Newaygo, MI, 49337",43.43292,-85.69911,
958,Lincoln Estates,https://www.mhvillage.com/parks/231, Ottawa ,191,452,962,"1139 Lincoln Avenue, Holland, MI, 49423",42.76859,-86.09715,
70,Long Lake Trailer Court,https://www.mhvillage.com/parks/15758, Presque Isle ,N/A,N/A,987,"10080 Us 23 North, Alpena, MI, 49707",45.1942,-83.43574,
245,Larry's Trailer Court,https://www.mhvillage.com/parks/15773, Presque Isle ,N/A,N/A,986,"10692 North Black River Road, Cheboygan, MI, 49721",45.5755,-84.46807,
290,Higgins Lake East Campground and Mobile Home Park,https://www.mhvillage.com/parks/15860, Roscommon ,N/A,N/A,992,"2380 West Burdell Road, Roscommon, MI, 48653",44.48037,-84.61296,
789,Poplar's Resort,https://www.mhvillage.com/parks/15669, Roscommon ,N/A,N/A,997,"10360 West Shore Dr, Houghton Lake, MI, 48629",44.29882,-84.73407,
360,Marshall's Crossing,https://www.mhvillage.com/parks/16009, Saginaw ,200,375,1009,"12050 Trident Boulevard, Montrose, MI, 48457",43.21973,-83.93292,
982,Birch Forest Manufactured Housing Community,https://www.mhvillage.com/parks/15326, Saginaw ,103,N/A,1002,"1 Big Bear, Birch Run, MI, 48415",43.27871,-83.80726,
991,Burt Estates,https://www.mhvillage.com/parks/15330, Saginaw ,112,N/A,1015,"11324 East Road, Burt, MI, 48417",43.26405,-83.94485,
1032,Memory Lane Mobile Home Park,https://www.mhvillage.com/parks/510, Saint Joseph ,227,380,1048,"25039 West Us 12, Sturgis, MI, 49091",41.79494,-85.46631,very close to another
1043,Camp Withers Mobile Home Park,https://www.mhvillage.com/parks/15698, Saint Joseph ,N/A,N/A,1060,"15717 Withers Road, Constantine, MI, 49042",41.85222,-85.66766,
1046,Huron Shores Estates,https://www.mhvillage.com/parks/15584, Sanilac ,189,N/A,1063,"144 Shoreline East, Port Sanilac, MI, 48469",43.45362,-82.55642,
274,Quiet Cove,https://www.mhvillage.com/parks/15408, Shiawassee ,43,N/A,1076,"12675 Colby Lake Road, Laingsburg, MI, 48848",42.87317,-84.38924,
278,Moon Lake Mobile Home Park,https://www.mhvillage.com/parks/15325, Shiawassee ,92,N/A,1089,"12700 South Colby Lake Road, Laingsburg, MI, 48848",42.87317,-84.38924,
681,Alan's Park,https://www.mhvillage.com/parks/374, Shiawassee ,32,N/A,1086,"11785 Lansing Road, Durand, MI, 48429",42.89658,-84.00732,
1062,Leisure Lake,https://www.mhvillage.com/parks/15990, Shiawassee ,425,N/A,1081,"10001 East Goodall Road, Durand, MI, 48429",42.89658,-84.00732,
1147,Plymouth Hills,https://www.mhvillage.com/parks/214, Wayne ,632,450,1167,"14150 D Drive, Plymouth, MI, 48170",42.36352,-83.53664,
137,Silver Shores Manufactured Home Community,https://www.mhvillage.com/parks/15749, Wexford ,200,415,1188,"1257 Overlook Drive, Traverse City, MI, 49685",44.67299,-85.68222,